median_age,age_dependency_ratio,oldage_dependency_ratio,percent_65+,Zip_Code
33.6,24.7,17.4,14.0,60601
34.1,15.7,0.6,0.5,60602
31.2,14.8,13.1,11.4,60603
32.2,15.1,10.1,8.7,60604
33.6,22.5,12.3,10.1,60605
36.3,17.8,13.5,11.5,60606
30.2,19.0,6.3,5.3,60607
32.6,39.7,13.9,9.9,60608
32.3,61.2,19.5,12.1,60609
33.4,33.8,21.6,16.1,60610
38.9,37.1,29.5,21.5,60611
32.5,49.4,14.7,9.9,60612
33.6,27.0,12.3,9.7,60613
30.5,30.6,12.2,9.4,60614
35.3,45.2,22.9,15.8,60615
38.0,43.6,22.9,15.9,60616
36.0,71.2,25.8,15.1,60617
34.4,44.8,13.3,9.2,60618
40.9,61.0,27.5,17.1,60619
40.3,67.7,29.7,17.7,60620
34.6,69.4,24.0,14.2,60621
32.0,25.9,7.7,6.1,60622
31.3,65.1,17.6,10.6,60623
32.1,68.8,19.5,11.6,60624
34.9,43.4,14.5,10.1,60625
33.7,38.0,13.5,9.8,60626
39.2,65.9,28.5,17.2,60628
31.2,64.8,17.4,10.5,60629
40.5,54.7,23.8,15.4,60630
43.2,63.2,30.8,18.9,60631
30.9,64.6,17.2,10.4,60632
39.6,62.3,26.7,16.5,60633
39.7,58.5,24.2,15.2,60634
41.3,76.5,37.2,21.1,60636
30.6,54.6,18.3,11.8,60637
37.8,63.5,23.0,14.0,60638
34.0,56.2,15.4,9.9,60639
36.8,36.0,18.3,13.4,60640
36.9,50.8,17.5,11.6,60641
31.6,18.0,7.0,6.0,60642
43.6,69.2,31.7,18.8,60643
35.1,66.3,23.1,13.9,60644
35.6,68.1,22.6,13.4,60645
43.6,76.9,36.6,20.7,60646
32.0,33.9,9.7,7.2,60647
37.3,58.0,22.8,14.4,60649
33.5,63.2,19.3,11.8,60651
36.2,60.8,18.7,11.6,60652
34.4,67.8,21.5,12.8,60653
33.2,16.2,7.7,6.6,60654
39.0,59.6,20.4,12.8,60655
40.1,56.7,27.6,17.6,60656
31.2,26.0,10.1,8.0,60657
34.8,61.8,19.3,11.9,60659
36.2,34.1,17.9,13.4,60660
31.5,13.7,3.6,3.2,60661
45.9,64.7,36.5,22.1,60706
40.5,58.8,25.7,16.2,60707
32.3,63.7,16.4,10.0,60827
