Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60601,01/20/2021,57,1144,40,776,0.051,17,368,0.024,15083,POINT (-87.622844 41.886262),60601-20210120
60603,02/09/2021,12,448,10,358,0.34,2,90,0.086,1052,POINT (-87.625473 41.880112),60603-20210209
60603,02/10/2021,18,466,16,374,0.356,2,92,0.087,1052,POINT (-87.625473 41.880112),60603-20210210
60603,02/11/2021,6,472,0,374,0.356,6,98,0.093,1052,POINT (-87.625473 41.880112),60603-20210211
60603,02/12/2021,18,490,4,378,0.359,14,112,0.106,1052,POINT (-87.625473 41.880112),60603-20210212
60603,02/13/2021,7,497,4,382,0.363,3,115,0.109,1052,POINT (-87.625473 41.880112),60603-20210213
60603,02/14/2021,4,501,3,385,0.366,1,116,0.11,1052,POINT (-87.625473 41.880112),60603-20210214
60603,02/15/2021,4,505,2,387,0.368,2,118,0.112,1052,POINT (-87.625473 41.880112),60603-20210215
60605,01/22/2021,214,4248,193,2744,0.094,21,1504,0.052,29060,POINT (-87.623449 41.867824),60605-20210122
60605,01/23/2021,96,4344,83,2827,0.097,13,1517,0.052,29060,POINT (-87.623449 41.867824),60605-20210123
60605,01/24/2021,31,4375,30,2857,0.098,1,1518,0.052,29060,POINT (-87.623449 41.867824),60605-20210124
60605,01/25/2021,151,4526,83,2940,0.101,68,1586,0.055,29060,POINT (-87.623449 41.867824),60605-20210125
60605,01/26/2021,131,4657,72,3012,0.104,59,1645,0.057,29060,POINT (-87.623449 41.867824),60605-20210126
60605,01/27/2021,164,4821,128,3140,0.108,36,1681,0.058,29060,POINT (-87.623449 41.867824),60605-20210127
60605,01/28/2021,203,5024,159,3299,0.114,44,1725,0.059,29060,POINT (-87.623449 41.867824),60605-20210128
60605,01/29/2021,227,5251,188,3487,0.12,39,1764,0.061,29060,POINT (-87.623449 41.867824),60605-20210129
60605,01/30/2021,74,5325,51,3538,0.122,23,1787,0.061,29060,POINT (-87.623449 41.867824),60605-20210130
60605,01/31/2021,31,5356,24,3562,0.123,7,1794,0.062,29060,POINT (-87.623449 41.867824),60605-20210131
60605,02/01/2021,108,5464,73,3635,0.125,35,1829,0.063,29060,POINT (-87.623449 41.867824),60605-20210201
60605,02/02/2021,173,5637,99,3734,0.128,74,1903,0.065,29060,POINT (-87.623449 41.867824),60605-20210202
60605,02/03/2021,146,5783,104,3838,0.132,42,1945,0.067,29060,POINT (-87.623449 41.867824),60605-20210203
60605,02/04/2021,214,5997,168,4006,0.138,46,1991,0.069,29060,POINT (-87.623449 41.867824),60605-20210204
60605,02/05/2021,231,6228,182,4188,0.144,49,2040,0.07,29060,POINT (-87.623449 41.867824),60605-20210205
60605,02/06/2021,110,6338,70,4258,0.147,40,2080,0.072,29060,POINT (-87.623449 41.867824),60605-20210206
60605,02/07/2021,30,6368,26,4284,0.147,4,2084,0.072,29060,POINT (-87.623449 41.867824),60605-20210207
60605,02/08/2021,116,6484,74,4358,0.15,42,2126,0.073,29060,POINT (-87.623449 41.867824),60605-20210208
60602,01/13/2021,5,98,4,70,0.061,1,28,0.024,1145,POINT (-87.628309 41.883136),60602-20210113
60602,01/14/2021,8,106,6,76,0.066,2,30,0.026,1145,POINT (-87.628309 41.883136),60602-20210114
60602,01/15/2021,7,113,7,83,0.072,0,30,0.026,1145,POINT (-87.628309 41.883136),60602-20210115
60602,01/16/2021,7,120,7,90,0.079,0,30,0.026,1145,POINT (-87.628309 41.883136),60602-20210116
60602,01/17/2021,3,123,2,92,0.08,1,31,0.027,1145,POINT (-87.628309 41.883136),60602-20210117
60602,01/18/2021,8,131,6,98,0.086,2,33,0.029,1145,POINT (-87.628309 41.883136),60602-20210118
60602,01/19/2021,19,150,11,109,0.095,8,41,0.036,1145,POINT (-87.628309 41.883136),60602-20210119
60602,01/21/2021,14,174,13,130,0.114,1,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210121
60602,01/22/2021,22,196,22,152,0.133,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210122
60602,01/23/2021,10,206,10,162,0.141,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210123
60602,01/24/2021,1,207,1,163,0.142,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210124
60602,01/25/2021,11,218,9,172,0.15,2,46,0.04,1145,POINT (-87.628309 41.883136),60602-20210125
60602,01/26/2021,15,233,9,181,0.158,6,52,0.045,1145,POINT (-87.628309 41.883136),60602-20210126
60602,01/27/2021,11,244,8,189,0.165,3,55,0.048,1145,POINT (-87.628309 41.883136),60602-20210127
60602,01/28/2021,10,254,10,199,0.174,0,55,0.048,1145,POINT (-87.628309 41.883136),60602-20210128
60602,01/29/2021,13,267,12,211,0.184,1,56,0.049,1145,POINT (-87.628309 41.883136),60602-20210129
60602,01/30/2021,14,281,12,223,0.195,2,58,0.051,1145,POINT (-87.628309 41.883136),60602-20210130
60602,01/31/2021,1,282,0,223,0.195,1,59,0.052,1145,POINT (-87.628309 41.883136),60602-20210131
60602,02/01/2021,13,295,12,235,0.205,1,60,0.052,1145,POINT (-87.628309 41.883136),60602-20210201
60602,02/02/2021,14,309,9,244,0.213,5,65,0.057,1145,POINT (-87.628309 41.883136),60602-20210202
60602,02/03/2021,20,329,16,260,0.227,4,69,0.06,1145,POINT (-87.628309 41.883136),60602-20210203
60602,02/04/2021,19,348,17,277,0.242,2,71,0.062,1145,POINT (-87.628309 41.883136),60602-20210204
60602,02/05/2021,13,361,12,289,0.252,1,72,0.063,1145,POINT (-87.628309 41.883136),60602-20210205
60602,02/06/2021,8,369,3,292,0.255,5,77,0.067,1145,POINT (-87.628309 41.883136),60602-20210206
60602,02/07/2021,2,371,1,293,0.256,1,78,0.068,1145,POINT (-87.628309 41.883136),60602-20210207
60605,02/09/2021,114,6598,69,4427,0.152,45,2171,0.075,29060,POINT (-87.623449 41.867824),60605-20210209
60605,02/10/2021,210,6808,154,4581,0.158,56,2227,0.077,29060,POINT (-87.623449 41.867824),60605-20210210
60605,02/11/2021,194,7002,75,4656,0.16,119,2346,0.081,29060,POINT (-87.623449 41.867824),60605-20210211
60605,02/12/2021,257,7259,99,4755,0.164,158,2504,0.086,29060,POINT (-87.623449 41.867824),60605-20210212
60605,02/13/2021,122,7381,61,4816,0.166,61,2565,0.088,29060,POINT (-87.623449 41.867824),60605-20210213
60605,02/14/2021,30,7411,16,4832,0.166,14,2579,0.089,29060,POINT (-87.623449 41.867824),60605-20210214
