Zip_Code,pre_suicide_count,post_suicide_count
60601,4.0,4.0
60605,2.0,2.0
60606,1.0,1.0
60607,4.0,3.0
60608,4.0,5.0
60609,4.0,1.0
60610,4.0,2.0
60611,5.0,2.0
60612,2.0,2.0
60613,2.0,2.0
60614,9.0,5.0
60615,1.0,1.0
60616,6.0,2.0
60617,7.0,6.0
60618,4.0,2.0
60619,7.0,3.0
60620,3.0,0.0
60621,1.0,1.0
60622,4.0,3.0
60623,6.0,3.0
60624,4.0,5.0
60625,9.0,7.0
60626,3.0,1.0
60628,3.0,1.0
60629,8.0,9.0
60630,7.0,4.0
60631,3.0,2.0
60632,8.0,2.0
60633,1.0,1.0
60634,6.0,4.0
60636,4.0,3.0
60637,3.0,2.0
60638,10.0,6.0
60639,5.0,5.0
60640,8.0,6.0
60641,10.0,5.0
60642,2.0,1.0
60643,2.0,3.0
60644,3.0,2.0
60645,6.0,5.0
60646,5.0,4.0
60647,8.0,6.0
60649,3.0,3.0
60651,3.0,1.0
60652,10.0,8.0
60653,3.0,2.0
60655,3.0,3.0
60656,6.0,4.0
60657,9.0,4.0
60659,6.0,3.0
60660,7.0,4.0
60677,1.0,1.0
60723,1.0,1.0
60827,2.0,2.0
60661,0.0,1.0
