Zip_Code,Total Doses - Cumulative,Vaccine Series Completed - Cumulative,Total Workers,Population,percent_healthworkers
60601,3102,1012,587,15083,3.89179871378373
60603,534,133,39,1052,3.70722433460076
60605,8082,2931,1516,29060,5.216792842395044
60602,520,162,105,1145,9.170305676855897
60604,326,71,37,823,4.495747266099635
60606,834,271,49,3287,1.4907210222087008
60607,8075,2952,1205,29293,4.113610760249889
60608,11330,2915,1746,80059,2.1808915924505676
60609,5970,1404,1304,60939,2.1398447627955823
60610,8742,2737,1748,40548,4.310940120351189
60611,13121,4877,1937,33224,5.830122802793162
60612,6157,2000,1105,33735,3.275529865125241
60613,10506,3297,2031,50761,4.001103209156636
60614,14815,4750,2586,71954,3.5939628095727825
60615,9490,3543,853,40590,2.1015028332101506
60616,9179,2666,2303,54197,4.24931269258446
60617,8608,2205,1738,83553,2.0801168120833484
60618,14195,3932,2401,94907,2.529845006163929
60619,6848,1825,1548,61207,2.529122485990164
60620,5789,1316,1884,67711,2.7824134926378283
60621,1959,457,524,28018,1.870226283103719
60622,11668,3831,2240,53294,4.203099786092243
60623,7480,1442,1199,81283,1.4750931929185684
60624,2570,533,811,34892,2.3243150292330617
60625,11882,3202,2570,79444,3.2349831327727707
60626,8599,2722,1333,50544,2.637306109528332
60628,5652,1384,1281,64254,1.9936502007657109
60629,10007,1909,1320,110029,1.1996837197466124
60630,8173,2069,1939,56433,3.4359328761540233
60631,6698,1727,987,29529,3.3424768871279085
60632,8770,1441,1141,89857,1.2697953414870293
60633,1012,237,267,12689,2.1041847269288363
60634,10450,2729,2294,75082,3.05532617671346
60636,1996,406,644,30024,2.144950706101785
60637,6479,2292,1416,47300,2.9936575052854124
60638,7683,1801,1267,58669,2.15957319879323
60639,8663,1711,1595,88204,1.80830801324203
60640,14816,4369,2829,69363,4.078543315600537
60641,8955,2232,1950,69880,2.790497996565541
60642,4198,1441,812,19716,4.1184824508013795
60643,8223,2271,1353,48887,2.7676069302677604
60644,4232,986,1892,46591,4.060870125131463
60645,8014,1966,1229,47270,2.599957689866723
60646,6030,1563,858,28569,3.0032552766985194
60647,13503,3974,2423,87633,2.7649401481177183
60649,5302,1529,1764,46633,3.7827289687560315
60651,5019,1051,1698,63492,2.6743526743526744
60652,4638,1034,1058,43447,2.4351508734780305
60653,4393,1190,807,33154,2.4340954334318634
60654,4151,1343,992,20022,4.954549995005494
60655,6414,1852,1052,28569,3.6823129966047112
60656,3616,857,918,28218,3.253242611099298
60657,15857,5222,2930,70958,4.129203190619803
60659,5680,1482,1433,42735,3.353223353223353
60660,8303,2455,1282,44498,2.8810283608252054
60661,2320,839,408,10354,3.9405060846049835
60707,1930,461,1079,43093,2.503886942194788
60827,170,46,863,28483,3.0298774707720395
