Zip_Code,latitude,longitude
60647,41.9209,-87.7043
60639,41.9202,-87.7535
60707,41.9232,-87.8185
60622,41.9019,-87.6779
60651,41.9025,-87.7393
60611,41.8971,-87.6223
60638,41.7814,-87.7705
60652,41.7454,-87.7135
60626,42.0095,-87.6689
60615,41.8022,-87.6006
60621,41.775,-87.6421
60645,42.0086,-87.6947
60643,41.6996,-87.6628
60660,41.9909,-87.6629
60640,41.9719,-87.6624
60614,41.9229,-87.6483
60631,41.9951,-87.8082
60646,41.993,-87.7596
60628,41.6934,-87.6243
60625,41.9703,-87.7042
60641,41.9453,-87.7474
60657,41.9399,-87.6528
60636,41.776,-87.6674
60649,41.762,-87.5703
60617,41.7257,-87.556
60633,41.6642,-87.5612
60612,41.8805,-87.6873
60604,41.8785,-87.633
60624,41.8804,-87.7223
60656,41.9735,-87.8658
60644,41.8829,-87.7582
60655,41.6948,-87.7038
60603,41.8798,-87.6285
60605,41.8713,-87.6277
60653,41.8196,-87.6126
60609,41.8097,-87.6533
60666,41.85,-87.6501
60618,41.9464,-87.7042
60616,41.8426,-87.6306
60602,41.8829,-87.6321
60601,41.8858,-87.6181
60608,41.8515,-87.6694
60607,41.8721,-87.6578
60661,41.8814,-87.643
60606,41.8868,-87.6386
60827,41.6496,-87.6301
60630,41.9699,-87.7603
60642,41.9008,-87.6528
60659,41.9972,-87.7166
60634,41.9463,-87.8061
60613,41.9543,-87.6575
60610,41.9033,-87.6336
60654,41.8923,-87.6373
60632,41.8093,-87.7052
60623,41.849,-87.7157
60629,41.7781,-87.7069
60620,41.7411,-87.6543
60637,41.7813,-87.6051
60619,41.7458,-87.6054
